Compound,hrs,yeast,rel_abundance
leucine,35,cal,4.7234
leucine,35,eng,55.7117
leucine,35,pil,68.9327
leucine,35,sak,82.6069
leucine,35,bel,47.8259
leucine,35,cal,3.8361
leucine,35,eng,54.8566
leucine,35,pil,67.8353
leucine,35,sak,80.4332
leucine,46,bel,107.7851
leucine,46,cal,125.3456
leucine,46,eng,64.7976
leucine,46,pil,68.5165
leucine,46,sak,43.7034
leucine,46,bel,88.8532
leucine,46,cal,97.3126
leucine,46,eng,63.098
leucine,46,pil,67.8624
leucine,46,sak,44.2418
leucine,46,bel,84.1562
leucine,46,cal,82.1271
leucine,46,eng,64.0035
leucine,46,pil,67.8788
leucine,46,sak,41.2842
leucine,58,bel,20.8253
leucine,58,cal,28.2495
leucine,58,eng,56.1602
leucine,58,pil,97.6262
leucine,58,sak,25.4369
leucine,58,bel,19.8254
leucine,58,cal,25.3305
leucine,58,eng,53.456
leucine,58,pil,88.0651
leucine,58,sak,24.0999
leucine,58,bel,19.5667
leucine,58,cal,25.2573
leucine,58,eng,51.1688
leucine,58,pil,84.1948
leucine,58,sak,22.893
leucine,70,bel,31.7615
leucine,70,cal,0
leucine,70,eng,83.3569
leucine,70,pil,69.0149
leucine,70,sak,134.4518
leucine,70,bel,30.5722
leucine,70,cal,0
leucine,70,eng,84.799
leucine,70,pil,64.4283
leucine,70,sak,97.9113
leucine,70,bel,27.5321
leucine,70,cal,0
leucine,70,eng,84.4753
leucine,70,pil,64.3579
leucine,70,sak,63.738
leucine,94,bel,17.9051
leucine,94,cal,2.1816
leucine,94,eng,41.1538
leucine,94,pil,97.0671
leucine,94,sak,10.571
leucine,94,bel,18.1216
leucine,94,cal,2.1228
leucine,94,eng,40.4785
leucine,94,pil,97.9095
leucine,94,sak,11.6163
leucine,94,bel,15.1124
leucine,94,cal,1.4971
leucine,94,eng,42.0044
leucine,94,pil,91.944
leucine,94,sak,11.9654
leucine,118,bel,14.2835
leucine,118,cal,0.9664
leucine,118,eng,32.8932
leucine,118,pil,65.2782
leucine,118,sak,19.7553
leucine,118,bel,15.2511
leucine,118,cal,1.0257
leucine,118,eng,27.4796
leucine,118,pil,60.4434
leucine,118,sak,17.8924
leucine,118,bel,15.0775
leucine,118,cal,1.0506
leucine,118,eng,32.5192
leucine,118,pil,61.0077
leucine,118,sak,17.8166
leucine,142,bel,12.7865
leucine,142,cal,1.0111
leucine,142,eng,34.332
leucine,142,pil,37.108
leucine,142,sak,18.4512
leucine,142,bel,12.791
leucine,142,cal,1.2823
leucine,142,eng,33.2694
leucine,142,pil,36.9746
leucine,142,sak,18.0619
leucine,142,bel,12.0997
leucine,142,cal,1.3352
leucine,142,eng,33.0888
leucine,142,pil,37.3114
leucine,142,sak,17.4885
leucine,166,bel,0
leucine,166,cal,1.5124
leucine,166,eng,20.2883
leucine,166,pil,0
leucine,166,sak,61.5486
leucine,166,bel,0
leucine,166,cal,2.3416
leucine,166,eng,19.9622
