Compound,log2_hrs,bel,cal,eng,pil,sak,,,,,,,,,,,,,,,,,,,,,
leucine,4.93,78.0685,78.0685,78.0685,78.0685,78.0685,,,,,,,,,,,,,,,,,,,,,
leucine,4.93,77.3629,77.3629,77.3629,77.3629,77.3629,,,,,,,,,,,,,,,,,,,,,
leucine,4.93,77.1781,77.1781,77.1781,77.1781,77.1781,,,,,,,,,,,,,,,,,,,,,
leucine,27,67.8233,93.2991,,69.1605,66.2839,,,,,,,,,,,,,,,,,,,,,
leucine,27,66.0094,,128.3638,70.7045,62.017,,,,,,,,,,,,,,,,,,,,,
leucine,27,64.7551,79.2578,109.9196,68.9665,58.7142,,,,,,,,,,,,,,,,,,,,,
leucine,35,51.79,5.3267,,64.2636,86.8392,,,,,,,,,,,,,,,,,,,,,
leucine,35,49.6304,4.7234,55.7117,68.9327,82.6069,,,,,,,,,,,,,,,,,,,,,
leucine,35,47.8259,3.8361,54.8566,67.8353,80.4332,,,,,,,,,,,,,,,,,,,,,
leucine,46,107.7851,125.3456,64.7976,68.5165,43.7034,,,,,,,,,,,,,,,,,,,,,
leucine,46,88.8532,97.3126,63.098,67.8624,44.2418,,,,,,,,,,,,,,,,,,,,,
leucine,46,84.1562,82.1271,64.0035,67.8788,41.2842,,,,,,,,,,,,,,,,,,,,,
leucine,58,20.8253,28.2495,56.1602,97.6262,25.4369,,,,,,,,,,,,,,,,,,,,,
leucine,58,19.8254,25.3305,53.456,88.0651,24.0999,,,,,,,,,,,,,,,,,,,,,
leucine,58,19.5667,25.2573,51.1688,84.1948,22.893,,,,,,,,,,,,,,,,,,,,,
leucine,70,31.7615,,83.3569,69.0149,134.4518,,,,,,,,,,,,,,,,,,,,,
leucine,70,30.5722,,84.799,64.4283,97.9113,,,,,,,,,,,,,,,,,,,,,
leucine,70,27.5321,,84.4753,64.3579,63.738,,,,,,,,,,,,,,,,,,,,,
leucine,94,17.9051,2.1816,41.1538,97.0671,10.571,,,,,,,,,,,,,,,,,,,,,
leucine,94,18.1216,2.1228,40.4785,97.9095,11.6163,,,,,,,,,,,,,,,,,,,,,
leucine,94,15.1124,1.4971,42.0044,91.944,11.9654,,,,,,,,,,,,,,,,,,,,,
leucine,118,14.2835,0.9664,32.8932,65.2782,19.7553,,,,,,,,,,,,,,,,,,,,,
